Actividad Institucional,Adefas,Aprobado,Ciclo,Clave de cartera,Descripción de Finalidad,Descripción de Fuente de Financiamiento,Descripción de Función,Descripción de Grupo Funcional,Descripción de Objeto del Gasto,Descripción de Programa Presupuestario,Descripción de Ramo,Descripción de Subfunción,Descripción de Tipo de Gasto,Descripción de Unidad Responsable,Descripción de la Actividad Institucional,Descripción de la entidad federativa,Descripción de la modalidad del programa presupuestario,Devengado,Ejercicio,Ejercido,Entidad Federativa,Finalidad,Fuente de Financiamiento,Función,Grupo Funcional,Modalidad del Programa presupuestario,Modificado,Objeto del Gasto,Pagado,Programa Presupuestario,Ramo,Subfunción,Tipo de Gasto,Unidad Responsable
4, -   ," 29,546 ",2014, 0 ,,Recursos fiscales,"Agropecuaria, Silvicultura, Pesca y Caza",Desarrollo Económico,Mantenimiento y conservación de bienes informáticos,"Implementación de políticas enfocadas al medio agrario, territorial y urbano","Desarrollo Agrario, Territorial y Urbano",Agropecuaria,Gasto corriente,Dirección General de Desarrollo Agrario,Ordenamiento y regularización de la propiedad rural, Distrito Federal ,"Planeación, seguimiento y evaluación de políticas públicas", -   , -   ,,9.0,,1.0,2,3.0,P, -   ,35301.0, -   ,1.0,15,1,1.0,310
16,0.00,0.00,2015,0,,Recursos fiscales,Protección Social,Desarrollo Social,Pasajes terrestres nacionales para labores en campo y de supervisión,Programa para el Mejoramiento de la Producción y la Productividad Indígena,Hacienda y Crédito Público,Indígenas,Gasto corriente por concepto de gastos indirectos de programas de subsidios,Comisión Nacional para el Desarrollo de los Pueblos Indígenas,Promoción y coordinación de las políticas publicas para el desarrollo de los pueblos y comunidades indígenas,Guerrero,Sujetos a Reglas de Operación,"70,051.00","70,051.00",,12.0,,1.0,6,2.0,S,"70,051.00",37201.0,"70,051.00",249.0,6,7,7.0,AYB
18,,307097.0,2011,,Desarrollo Social,Recursos fiscales,Salud,,"Combustibles, lubricantes y aditivos para maquinaria, equipo de producción y servicios administrativos",Prestación de servicios en los diferentes niveles de atención a la salud,Salud,Prestación de Servicios de Salud a la Persona,Gasto corriente,Hospital Regional de Alta Especialidad de Ciudad Victoria Bicentenario 2010,Prestación de servicios del Sistema Nacional de Salud organizados e integrados,,Prestación de Servicios Públicos,,,189049.0,,2.0,1.0,1,,E,,26105.0,,23.0,12,2,1.0,NBT
3,," 836,864 ",2012,1116B000103,Desarrollo Económico,Recursos fiscales,"Agropecuaria, Silvicultura, Pesca y Caza",,Servicios de supervisión de obras,Infraestructura de temporal.,Medio Ambiente y Recursos Naturales,Hidroagrícola,Gasto de obra pública,Comisión Nacional del Agua,Manejo eficiente y sustentable del agua y prevención de inundaciones,Quintana Roo,Proyectos de Inversión,,," 649,055 ",23.0,3.0,1.0,2,,K,,62903.0,,132.0,16,5,3.0,B00
3,," 5,674,805 ",2012,0,Gobierno,Recursos fiscales,Asuntos de Orden Público y de Seguridad Interior,,Medicinas y productos farmacéuticos,Implementación de operativos para la prevención y disuasión del delito,Seguridad Pública,Policía,Gasto corriente,Policía Federal,Prevención del delito con perspectiva nacional,Distrito Federal,Prestación de Servicios Públicos,,," 281,882 ",9.0,1.0,1.0,7,,E,,25301.0,,3.0,36,1,1.0,C00
3,, -   ,2012,0,Desarrollo Social,Recursos fiscales,Vivienda y Servicios a la Comunidad,,Servicios bancarios y financieros,Programa Habitat,Desarrollo Social,Urbanización,Gasto corriente por concepto de gastos indirectos de programas de subsidios,Dirección General de Evaluación y Monitoreo de los Programas Sociales,Apoyo en zonas urbanas marginadas,Distrito Federal,Sujetos a Reglas de Operación,,," 3,251,265 ",9.0,2.0,1.0,2,,S,,34101.0,,48.0,20,1,7.0,610
4,0.00,"2,237.00",2015,0,,Recursos fiscales,Coordinación de la Política de Gobierno,Gobierno,"Blancos y otros productos textiles, excepto prendas de vestir","Asesoría, coordinación, difusión y apoyo técnico de las actividades del Presidente de la República",Oficina de la Presidencia de la República,Presidencia / Gubernatura,Gasto corriente,Coordinación de Estrategia y Mensaje Gubernamental,"Asesoría, coordinación, difusión y apoyo de las actividades del Presidente de la República",Distrito Federal,"Planeación, seguimiento y evaluación de políticas públicas","1,319.90","1,319.90",,9.0,,1.0,3,1.0,P,"1,319.90",27501.0,"1,319.90",2.0,2,1,1.0,130
1,0.00,"1,000.00",2015,0,,Recursos fiscales,Coordinación de la Política de Gobierno,Gobierno,Materiales complementarios,Actividades de apoyo a la función pública y buen gobierno,Salud,Función Pública,Gasto corriente,Instituto Nacional de Psiquiatría Ramón de la Fuente Muñiz,Función pública y buen gobierno,Distrito Federal,Apoyo a la función pública y al mejoramiento de la gestión,"5,833.00","5,833.00",,9.0,,1.0,3,1.0,O,"5,833.00",24801.0,"5,833.00",1.0,12,4,1.0,M7F
4,0.00,0.00,2015,0,,Recursos fiscales,"Agropecuaria, Silvicultura, Pesca y Caza",Desarrollo Económico,Productos alimenticios para el personal derivado de actividades extraordinarias,"Implementación de políticas enfocadas al medio agrario, territorial y urbano","Desarrollo Agrario, Territorial y Urbano",Agropecuaria,Gasto corriente,Dirección General de Concertación Social,Ordenamiento y regularización de la propiedad rural,Distrito Federal,"Planeación, seguimiento y evaluación de políticas públicas","7,329.00","7,329.00",,9.0,,1.0,2,3.0,P,"7,329.00",22106.0,"7,329.00",1.0,15,1,1.0,313
7,," 17,000 ",2012,0,Desarrollo Social,Recursos fiscales,Protección Ambiental,,Productos alimenticios para el personal en las instalaciones de las dependencias y entidades,"Planeación, Dirección y Evaluación Ambiental",Medio Ambiente y Recursos Naturales,Otros de Protección Ambiental,Gasto corriente,Unidad Coordinadora de Participación Social y Transparencia,Regulación de las actividades económicas y sociales para la protección del medio ambiente y recursos naturales.,Distrito Federal,"Planeación, seguimiento y evaluación de políticas públicas",,," 12,704 ",9.0,2.0,1.0,1,,P,,22104.0,,2.0,16,6,1.0,116
2,," 4,726,594.0 ",2010,,Desarrollo Económico,Recursos fiscales,Desarrollo Agropecuario y Forestal,,Primas de vacaciones y dominical,Actividades de apoyo administrativo,"Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",Apoyos a la Producción,Gasto corriente,"Servicio Nacional de Sanidad, Inocuidad y Calidad Agroalimentaria",Servicios de apoyo administrativo,,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,,," 4,244,282.0 ",,3.0,1.0,2,,M,,1305.0,,1.0,8,1,1.0,B00
2,," 327,523.0 ",2013,0,Desarrollo Social,Recursos fiscales,Salud,,Aportaciones al seguro de cesantía en edad avanzada y vejez,Actividades de apoyo administrativo,Salud,Rectoría del Sistema de Salud,Gasto corriente,Secretariado Técnico del Consejo Nacional de Salud,Servicios de apoyo administrativo,Distrito Federal,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional," 201,278.4 ",," 201,278.4 ",9.0,2.0,1.0,3,,M,,14105.0,,1.0,12,4,1.0,171
2,," 1,162,344.0 ",2010,,Desarrollo Social,Recursos fiscales,Salud,,Aportaciones al ISSSTE,Actividades de apoyo administrativo,Salud,Rectoría del Sistema de Salud,Gasto corriente,"Hospital General ""Dr. Manuel Gea González""",Servicios de apoyo administrativo,,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,,," 1,162,344.0 ",,2.0,1.0,1,,M,,1401.0,,1.0,12,4,1.0,NBB
15,0.00,"5,968,621.00",2015,0,,Recursos fiscales,Salud,Desarrollo Social,Subsidios a Entidades Federativas y Municipios,"Prevención y Control de Sobrepeso, Obesidad y Diabetes",Salud,Prestación de Servicios de Salud a la Comunidad,Gasto corriente,Centro Nacional de Programas Preventivos y Control de Enfermedades,Promoción de la salud y prevención y control de enfermedades fortalecidas e integradas sectorial e intersectorialmente,Guerrero,Otros Subsidios,"3,669,939.00","3,669,939.00",,12.0,,1.0,3,2.0,U,"3,669,939.00",43801.0,"3,669,939.00",8.0,12,1,1.0,O00
2,0.00,"6,189.00",2015,0,,Recursos fiscales,Transporte,Desarrollo Económico,Refacciones y accesorios menores de equipo de transporte,Actividades de apoyo administrativo,Comunicaciones y Transportes,Otros Relacionados con Transporte,Gasto corriente,Centro SCT San Luis Potosí,Servicios de apoyo administrativo,San Luis Potosí,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,"6,099.28","6,099.28",,24.0,,1.0,5,3.0,M,"6,099.28",29601.0,"6,099.28",1.0,9,6,1.0,644
4,, -   ,2012,12178120008,Gobierno,Recursos fiscales,Justicia,,Bienes informáticos,Investigar y perseguir los delitos del orden federal,Procuraduría General de la República,Procuración de Justicia,Gasto de capital diferente de obra pública,Dirección General de Recursos Materiales y Servicios Generales,Investigación del delito federal,Distrito Federal,Prestación de Servicios Públicos,,," 160,248,865 ",9.0,1.0,1.0,2,,E,,51501.0,,2.0,17,2,2.0,812
16,," 296,052.0 ",2013,0,Desarrollo Social,Recursos fiscales,Protección Social,,Material de limpieza,Acciones de control de las unidades centrales y foráneas,Hacienda y Crédito Público,Indígenas,Gasto corriente,Comisión Nacional para el Desarrollo de los Pueblos Indígenas,Promoción y coordinación de las políticas publicas para el desarrollo de los pueblos y comunidades indígenas,Oaxaca,"Planeación, seguimiento y evaluación de políticas públicas"," 290,644.8 ",," 290,644.8 ",20.0,2.0,1.0,6,,P,,21601.0,,14.0,6,7,1.0,AYB
11,, -   ,2010,,Desarrollo Social,Recursos fiscales,Asistencia Social,,Pasajes nacionales para servidores públicos de mando en el desempeño de comisiones y funciones oficiales,Programa de estancias infantiles para apoyar a madres trabajadoras,Desarrollo Social,Otros Grupos Vulnerables,Gasto corriente por concepto de gastos indirectos de programas de subsidios,Delegación SEDESOL en San Luis Potosí,Apoyo a las madres trabajadoras en el cuidado de sus hijos,,Sujetos a Reglas de Operación,,," 39,161.0 ",,2.0,1.0,5,,S,,3811.0,,174.0,20,3,7.0,144
1, -   ," 248,160 ",2014, 0 ,,Recursos fiscales,Otros Servicios Generales,Gobierno,"Combustibles, lubricantes y aditivos para vehículos terrestres, aéreos, marítimos, lacustres y fluviales destinados a servicios administrativos",Actividades de apoyo administrativo,Información Nacional Estadística y Geográfica,Servicios Estadísticos,Gasto corriente,Instituto Nacional de Estadística y Geografía,Sistema Nacional de Información Estadística y Geográfica, Distrito Federal ,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional," 230,090 "," 219,737 ",,9.0,,1.0,8,1.0,M," 230,090 ",26103.0," 219,737 ",1.0,40,2,1.0,100
10,," 3,200.0 ",2013,11096400029,Desarrollo Económico,Recursos fiscales,Transporte,,Productos alimenticios para el personal en las instalaciones de las dependencias y entidades,Proyectos de infraestructura económica de carreteras alimentadoras y caminos rurales,Comunicaciones y Transportes,Transporte por Carretera,Gasto de obra pública,Centro SCT Oaxaca,"Carreteras alimentadoras y caminos rurales eficientes, seguras y suficientes",Oaxaca,Proyectos de Inversión, -   ,, -   ,20.0,3.0,1.0,5,,K,,22104.0,,31.0,9,1,3.0,640
4,, -   ,2012,0,Gobierno,Recursos fiscales,Justicia,,Viáticos en el extranjero para servidores públicos en el desempeño de comisiones y funciones oficiales,Promoción del Desarrollo Humano y Planeación Institucional,Procuraduría General de la República,Procuración de Justicia,Gasto corriente,"Dirección General de Políticas Públicas, Vinculación y Coordinación Interinstitucional",Investigación del delito federal,Distrito Federal,Prestación de Servicios Públicos,,, -   ,9.0,1.0,1.0,2,,E,,37602.0,,13.0,17,2,1.0,132
19, -   ," 158,259 ",2014, 0 ,,Recursos fiscales,Salud,Desarrollo Social,Cuotas para el seguro de separación individualizado,Formación y desarrollo profesional de recursos humanos especializados para la salud,Salud,Generación de Recursos para la Salud,Gasto corriente,Instituto Nacional de Cardiología Ignacio Chávez,Formación y capacitación de recursos humanos acordes a las necesidades y demandas de atención a la salud, Distrito Federal ,Prestación de Servicios Públicos," 158,259 "," 158,259 ",,9.0,,1.0,3,2.0,E," 158,259 ",14404.0," 158,259 ",10.0,12,3,1.0,NCA
4,0.00,"263,000.00",2015,0,,Recursos fiscales,"Agropecuaria, Silvicultura, Pesca y Caza",Desarrollo Económico,"Combustibles, lubricantes y aditivos para vehículos terrestres, aéreos, marítimos, lacustres y fluviales destinados a servicios públicos y la operación de programas públicos",Programa Nacional Forestal-Protección Forestal,Medio Ambiente y Recursos Naturales,Silvicultura,Gasto corriente,Comisión Nacional Forestal,Producción y Protección Forestal,Morelos,Prestación de Servicios Públicos,"257,402.68","257,402.68",,17.0,,1.0,2,3.0,E,"257,402.68",26102.0,"257,402.68",14.0,16,2,1.0,RHQ
1,," 115,855.0 ",2010,,Gobierno,Recursos fiscales,Administración Pública,,Aportaciones al FOVISSSTE,Actividades de apoyo a la función pública y buen gobierno,Educación Pública,Función Pública,Gasto corriente,Instituto Nacional para la Educación de los Adultos,Función pública y buen gobierno,,Apoyo a la función pública y al mejoramiento de la gestión,,," 118,856.0 ",,1.0,1.0,8,,O,,1403.0,,1.0,11,3,1.0,MDA
10, -   ," 3,000 ",2014, 41479 ,,Recursos fiscales,Transporte,Desarrollo Económico,Servicio telefónico convencional,Proyectos de infraestructura económica de carreteras alimentadoras y caminos rurales,Comunicaciones y Transportes,Transporte por Carretera,Gasto de obra pública,Centro SCT Chiapas,"Carreteras alimentadoras y caminos rurales eficientes, seguras y suficientes", Chiapas ,Proyectos de Inversión, -   , -   ,,7.0,,1.0,5,3.0,K, -   ,31401.0, -   ,31.0,9,1,3.0,627
10,,0.0,2011,,Desarrollo Social,Recursos fiscales,Educación,,Yucatán,Programa de Fortalecimiento de la Educación Especial y de la Integración Educativa,Educación Pública,Educación Básica,Gasto corriente,Dirección General de Desarrollo Curricular,Diseño y aplicación de la política educativa,,Sujetos a Reglas de Operación,,,8431526.0,,2.0,1.0,0,,S,,43831.0,,33.0,11,1,1.0,312
10,," 18,000.0 ",2013,11096330023,Desarrollo Económico,Recursos fiscales,Transporte,,Servicio de agua,Proyectos de infraestructura económica de carreteras alimentadoras y caminos rurales,Comunicaciones y Transportes,Transporte por Carretera,Gasto de obra pública,Centro SCT Hidalgo,"Carreteras alimentadoras y caminos rurales eficientes, seguras y suficientes",Hidalgo,Proyectos de Inversión, -   ,, -   ,13.0,3.0,1.0,5,,K,,31301.0,,31.0,9,1,3.0,633
7,0.00,"165,521.00",2015,0,,Recursos fiscales,"Asuntos Económicos, Comerciales y Laborales en General",Desarrollo Económico,Impuesto sobre nóminas,Vigilancia del cumplimiento de la normatividad aplicable y fortalecimiento  de la certeza jurídica en las relaciones entre proveedores y consumidores,Economía,Asuntos Económicos y Comerciales en General,Gasto corriente,Procuraduría Federal del Consumidor,Equidad en las relaciones de consumo,Veracruz,Regulación y supervisión,"165,521.00","165,521.00",,30.0,,1.0,1,3.0,G,"165,521.00",39801.0,"165,521.00",3.0,10,1,1.0,LAT
1,, -   ,2012,0,Gobierno,Recursos fiscales,Coordinación de la Política de Gobierno,,Materiales complementarios,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,Instituto Federal Electoral,Organización de Procesos Electorales,Gasto corriente,Juntas Distritales,"Democracia preservada y fortalecida mediante la organización de elecciones federales, el fomento de la participación ciudadana y la promoción del desarrollo del sistema de partidos",Morelos,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,,," 1,091 ",17.0,1.0,1.0,3,,M,,24801.0,,1.0,22,6,1.0,300
15,0.00,"525,000.00",2015,0,,Recursos fiscales,Salud,Desarrollo Social,Pasajes aéreos internacionales para servidores públicos en el desempeño de comisiones y funciones oficiales,Prevención y atención contra las adicciones,Salud,Prestación de Servicios de Salud a la Comunidad,Gasto corriente,Comisión Nacional contra las Adicciones,Promoción de la salud y prevención y control de enfermedades fortalecidas e integradas sectorial e intersectorialmente,Distrito Federal,Prestación de Servicios Públicos,"177,744.10","177,744.10",,9.0,,1.0,3,2.0,E,"177,744.10",37106.0,"177,744.10",25.0,12,1,1.0,180
3,," 359,697.0 ",2010,,Desarrollo Económico,Recursos fiscales,Ciencia y Tecnología,,"Vestuario, uniformes y blancos",Realización de investigación científica y elaboración de publicaciones,Consejo Nacional de Ciencia y Tecnología,Investigación Científica,Gasto corriente,"Centro de Investigación Científica y de Educación Superior de Ensenada, B.C.",Generación de conocimiento científico para el bienestar de la población y difusión de sus resultados,,Prestación de Servicios Públicos,,," 359,697.0 ",,3.0,1.0,7,,E,,2701.0,,1.0,38,1,1.0,9ZW
10, -   , -   ,2014, 6096340002 ,,Recursos fiscales,Transporte,Desarrollo Económico,Materiales y útiles de oficina,Proyectos de infraestructura económica de carreteras alimentadoras y caminos rurales,Comunicaciones y Transportes,Transporte por Carretera,Gasto de obra pública,Centro SCT Jalisco,"Carreteras alimentadoras y caminos rurales eficientes, seguras y suficientes", Jalisco ,Proyectos de Inversión, -   , -   ,,14.0,,1.0,5,3.0,K, -   ,21101.0, -   ,31.0,9,1,3.0,634
9,," 211,575.0 ",2013,0,Desarrollo Económico,Recursos fiscales,"Agropecuaria, Silvicultura, Pesca y Caza",,Aportaciones al FOVISSSTE,"Registro, Control y Seguimiento de los Programas Presupuestarios","Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",Agropecuaria,Gasto corriente,Subsecretaría de Agricultura,"Impulso a la reconversión productiva en materia agrícola, pecuaria y pesquera",Distrito Federal,"Planeación, seguimiento y evaluación de políticas públicas"," 215,153.1 ",," 215,153.1 ",9.0,3.0,1.0,2,,P,,14201.0,,1.0,8,1,1.0,300
10,, -   ,2012,12096340026,Desarrollo Económico,Recursos fiscales,Transporte,,Materiales y útiles para el procesamiento en equipos y bienes informáticos,Proyectos de infraestructura económica de carreteras alimentadoras y caminos rurales,Comunicaciones y Transportes,Transporte por Carretera,Gasto de obra pública,Centro SCT Jalisco,"Carreteras alimentadoras y caminos rurales eficientes, seguras y suficientes",Jalisco,Proyectos de Inversión,,, -   ,14.0,3.0,1.0,5,,K,,21401.0,,31.0,9,1,3.0,634
6, -   ," 3,009 ",2014, 0 ,,Recursos fiscales,Coordinación de la Política de Gobierno,Gobierno,Materiales y útiles consumibles para el procesamiento en equipos y bienes informáticos,Conducción de la Política con los Pueblos Indígenas,Gobernación,Política Interior,Gasto corriente,Comisión para el Diálogo con los Pueblos Indígenas de México,"Política interior y las relaciones del Ejecutivo Federal con el Congreso de la Unión, Entidades Federativas y Asociaciones Políticas y Sociales", Distrito Federal ,"Planeación, seguimiento y evaluación de políticas públicas", -   , -   ,,9.0,,1.0,3,1.0,P, -   ,21401.0, -   ,20.0,4,2,1.0,101
3,0.00,0.00,2015,0,,Recursos fiscales,"Asuntos Económicos, Comerciales y Laborales en General",Desarrollo Económico,Servicio postal,Programa de Fomento a la Economía Social,Economía,Asuntos Económicos y Comerciales en General,Gasto corriente por concepto de gastos indirectos de programas de subsidios,Instituto Nacional de la Economía Social,"Micro, pequeñas y medianas empresas productivas y competitivas",Baja California Sur,Sujetos a Reglas de Operación,"5,998.40","5,998.40",,3.0,,1.0,1,3.0,S,"5,998.40",31801.0,"5,998.40",17.0,10,1,7.0,D00
7,," 639,851.0 ",2013,0,Gobierno,Recursos fiscales,Justicia,,Primas de vacaciones y dominical,Representación jurídica de la Federación en el ámbito nacional e internacional,Procuraduría General de la República,Procuración de Justicia,Gasto corriente,Subprocuraduría Jurídica y de Asuntos Internacionales,Representación jurídica de la Federación en el ámbito interno e internacional,Distrito Federal,Prestación de Servicios Públicos," 514,555.8 ",," 514,555.8 ",9.0,1.0,1.0,2,,E,,13201.0,,8.0,17,2,1.0,200
5, -   ," 1,000 ",2014, 0 ,,Recursos fiscales,"Asuntos Económicos, Comerciales y Laborales en General",Desarrollo Económico,Arrendamiento de equipo de telecomunicaciones,Instrumentación de la política laboral,Trabajo y Previsión Social,Asuntos Laborales Generales,Gasto corriente,Subsecretaría de Previsión Social,Instrumentación de la política Laboral, Distrito Federal ,"Planeación, seguimiento y evaluación de políticas públicas", -   , -   ,,9.0,,1.0,1,3.0,P, -   ,32303.0, -   ,1.0,14,2,1.0,400
1,," 86,232 ",2012,0,Gobierno,Recursos fiscales,Coordinación de la Política de Gobierno,,Prestaciones establecidas por condiciones generales de trabajo o contratos colectivos de trabajo,Actividades de apoyo a la función pública y buen gobierno,Procuraduría General de la República,Función Pública,Gasto corriente,Instituto Nacional de Ciencias Penales,Función pública y buen gobierno,Distrito Federal,Apoyo a la función pública y al mejoramiento de la gestión,,," 102,060 ",9.0,1.0,1.0,3,,O,,15401.0,,1.0,17,4,1.0,SKC
1, -   ," 45,000 ",2014, 0 ,,Recursos fiscales,Coordinación de la Política de Gobierno,Gobierno,Honorarios,Organización electoral federal,Instituto Nacional Electoral,Organización de Procesos Electorales,Gasto corriente,Juntas Locales Ejecutivas,"Democracia preservada y fortalecida mediante la organización de elecciones federales, el fomento de la participación ciudadana y la promoción del desarrollo del sistema de partidos", Nuevo León ,Específicos," 45,000 "," 45,000 ",,19.0,,1.0,3,1.0,R," 45,000 ",12101.0," 45,000 ",2.0,22,6,1.0,200
3,," 12,600.0 ",2013,10096340023,Desarrollo Económico,Recursos fiscales,Transporte,,"Mantenimiento y conservación de vehículos terrestres, aéreos, marítimos, lacustres y fluviales",Proyectos de infraestructura económica de carreteras,Comunicaciones y Transportes,Transporte por Carretera,Gasto de obra pública,Centro SCT Jalisco,"Carreteras eficientes, seguras y suficientes",Jalisco,Proyectos de Inversión," 11,478.0 ",," 11,478.0 ",14.0,3.0,1.0,5,,K,,35501.0,,3.0,9,1,3.0,634
3," 4,638,791 "," 342,485,783 ",2014, 0 ,,Recursos fiscales,Seguridad Nacional,Gobierno,Compensaciones de servicios,"Defensa de la Integridad, la Independencia, la Soberanía del Territorio Nacional",Defensa Nacional,Defensa,Gasto corriente,Jefatura del Estado Mayor de la Defensa Nacional,"Defensa de la integridad, la independencia, la soberanía del territorio nacional y la seguridad interior", Distrito Federal ,Funciones de las Fuerzas Armadas," 181,818,550 "," 181,818,550 ",,9.0,,1.0,6,1.0,A," 181,818,550 ",13406.0," 177,179,759 ",2.0,7,1,1.0,111
4, -   ," 2,662,620 ",2014, 0 ,,Recursos fiscales,Justicia,Gobierno,Estímulos por productividad y eficiencia,"Mantener relaciones de colaboración internacional con organismos afines nacionales e internacionales, realizar estudios y administrar el archivo institucional",Comisión Nacional de los Derechos Humanos,Derechos Humanos,Gasto corriente,Secretaría Ejecutiva,Promover y divulgar la cultura de los derechos humanos eficiente y ampliamente, Distrito Federal ,Prestación de Servicios Públicos," 3,798,629 "," 3,798,629 ",,9.0,,1.0,2,1.0,E," 3,798,629 ",17101.0," 3,798,629 ",16.0,35,4,1.0,106
3,0.00,0.00,2015,0,,Recursos fiscales,Protección Ambiental,Desarrollo Social,Subsidios a Entidades Federativas y Municipios,Saneamiento de Aguas Residuales,Medio Ambiente y Recursos Naturales,"Ordenación de Aguas Residuales, Drenaje y Alcantarillado",Gasto de capital diferente de obra pública,Comisión Nacional del Agua,Manejo eficiente y sustentable del agua y prevención de inundaciones,Tamaulipas,Otros Subsidios,"1,513,530.00","1,513,530.00",,28.0,,1.0,1,2.0,U,"1,513,530.00",43801.0,"1,513,530.00",8.0,16,3,2.0,B00
2, -   ," 2,000 ",2014, 0 ,,Recursos fiscales,Salud,Desarrollo Social,"Impresiones de documentos oficiales para la prestación de servicios públicos, identificación, formatos administrativos y fiscales, formas valoradas, certificados y títulos",Actividades de apoyo administrativo,Salud,Rectoría del Sistema de Salud,Gasto corriente,Comisión Federal para la Protección contra Riesgos Sanitarios,Servicios de apoyo administrativo, Distrito Federal ,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional, 464 , 464 ,,9.0,,1.0,3,2.0,M, 464 ,33603.0, 464 ,1.0,12,4,1.0,S00
12,, 977.0 ,2013,0,Desarrollo Social,Recursos fiscales,Protección Social,,Medicinas y productos farmacéuticos,Asistencia social y protección del paciente,Salud,Otros Grupos Vulnerables,Gasto corriente,Sistema Nacional para el Desarrollo Integral de la Familia,"Asistencia social, comunitaria y beneficencia pública justa y equitativa (asistencia pública)",Sinaloa,"Planeación, seguimiento y evaluación de políticas públicas"," 1,989.7 ",," 1,989.7 ",25.0,2.0,1.0,6,,P,,25301.0,,13.0,12,8,1.0,NHK
1,, -   ,2012,0,Gobierno,Recursos fiscales,Coordinación de la Política de Gobierno,,Arrendamiento de maquinaria y equipo,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,Instituto Federal Electoral,Organización de Procesos Electorales,Gasto corriente,Juntas Distritales,"Democracia preservada y fortalecida mediante la organización de elecciones federales, el fomento de la participación ciudadana y la promoción del desarrollo del sistema de partidos",Quintana Roo,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,,," 95,870 ",23.0,1.0,1.0,3,,M,,32601.0,,1.0,22,6,1.0,300
2,," 70,915.0 ",2010,,Desarrollo Social,Recursos fiscales,Salud,,Pasajes terrestres nacionales para labores en campo y de supervisión,Actividades de apoyo administrativo,Salud,Rectoría del Sistema de Salud,Gasto corriente,"Dirección General de Programación, Organización y Presupuesto",Servicios de apoyo administrativo,,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,,," 100,430.0 ",,2.0,1.0,1,,M,,3808.0,,1.0,12,4,1.0,510
6,,0.0,2011,,Desarrollo Económico,Recursos fiscales,Desarrollo Agropecuario y Forestal,,Mantenimiento y conservación de maquinaria y equipo,"Registro, Control y Seguimiento de los Programas Presupuestarios","Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",Apoyos a la Producción,Gasto corriente,Delegación en Sinaloa,Elevar el ingreso de los productores y el empleo rural,,"Planeación, seguimiento y evaluación de políticas públicas",,,0.0,,3.0,1.0,2,,P,,35701.0,,1.0,8,1,1.0,145
3,0.00,0.00,2015,0,,Recursos fiscales,"Minería, Manufacturas y Construcción",Desarrollo Económico,Apertura de Fondo Rotatorio,Promoción de la inversión en el sector minero y desarrollo de su competitividad,Economía,Extracción de Recursos Minerales excepto los Combustibles Minerales,Gasto corriente,Coordinación General de Minería,"Micro, pequeñas y medianas empresas productivas y competitivas",Distrito Federal,Promoción y fomento,0.00,0.00,,9.0,,1.0,4,3.0,F,0.00,39910.0,0.00,1.0,10,1,1.0,180
4,,0.0,2011,,Desarrollo Económico,Recursos fiscales,Desarrollo Agropecuario y Forestal,,Refacciones y accesorios menores de maquinaria y otros equipos,ProÁrbol.-Prevención y Combate de Incendios Forestales,Medio Ambiente y Recursos Naturales,Forestal,Gasto corriente,Comisión Nacional Forestal,"Proárbol: Bosques recuperados, protegidos y productivos",,Prestación de Servicios Públicos,,,50313.0,,3.0,1.0,2,,E,,29801.0,,13.0,16,6,1.0,RHQ
10,,2488.0,2011,,Desarrollo Social,Recursos fiscales,Educación,,Prendas de protección personal,Diseño y aplicación de la política educativa,Educación Pública,Otros Servicios Educativos y Actividades Inherentes,Gasto corriente,Unidad de Planeación y Evaluación de Políticas Educativas,Diseño y aplicación de la política educativa,,"Planeación, seguimiento y evaluación de políticas públicas",,,0.0,,2.0,1.0,0,,P,,27201.0,,1.0,11,9,1.0,200
3,," 309,792.0 ",2013,0,Gobierno,Recursos fiscales,Justicia,,Servicios de vigilancia,Resolución de asuntos relativos a conflictos y controversias por la posesión y usufructo de la tierra,Tribunales Agrarios,Impartición de Justicia,Gasto corriente,Tribunales Unitarios Agrarios,Impartición de Justicia en materia agraria,Michoacán,Prestación de Servicios Públicos," 312,620.9 ",," 312,620.9 ",16.0,1.0,1.0,2,,E,,33801.0,,1.0,31,1,1.0,200
7,,0.0,2011,,Desarrollo Económico,Recursos fiscales,Desarrollo Sustentable,,Chihuahua,Prevención y gestión integral de residuos,Medio Ambiente y Recursos Naturales,Protección y Conservación del Medio Ambiente y los Recursos Naturales,Gasto de obra pública,"Dirección General de Fomento Ambiental, Urbano y Turístico",Regulación de las actividades económicas y sociales para la protección del medio ambiente y recursos naturales.,,Otros Subsidios,,,6745600.0,,3.0,1.0,9,,U,,43808.0,,12.0,16,2,3.0,612
