ACTIVIDAD_INST_DESCRIPCION,AI,Actividad Institucional,CLAVE_CARTERA,CONCEPTO,CONCEPTO_DESCRIPCION,Ciclo,Clave de Cartera,Descripción de Actividad Institucional,Descripción de Entidad Federativa,Descripción de Finalidad,Descripción de Fuente de Financiamiento,Descripción de Función,Descripción de Grupo Funcional,Descripción de Objeto del Gasto,Descripción de Programa Presupuestario,Descripción de Ramo,Descripción de Subfunción,Descripción de Tipo de Gasto,Descripción de Unidad Responsable,Descripción de la Actividad Institucional,Descripción del Identificador de Programa Presupuestario,Descripción del Identificador del Programa Presupuestario,Descripciónde Fuente de Financiamiento,Descripciónde Tipo de Gasto,EF,ENTIDAD_FED_DESCRIPCION,Entidad Federativa,FF,FN,FUENTE_FINAN_DESCRIPCION,FUNCIONL_DESCRIPCION,Finalidad,Fuente de Financiamiento,Función,GF,GRUPO_FUN_DESCRIPCION,Grupo Funcional,Identificador de Programa Presupuestario,Identificador del Programa Presupuestario,Importe Presupuesto de Egresos de la Federación (PEF),MOD,MODALIDAD_DESCRIPCION,Objeto del Gasto,PEF_2016,PP,PROGR_PRES_DESCRIPCION,Programa Presupuestario,RA,RAMO_DESCRIPCION,REASIGNACION_DESCRIPCION,Ramo,SF,SUBFUNCIONL_DESCRIPCION,Subfunción,TG,TIPO_GASTO_DESCRIPCION,Tipo de Gasto,UNIDAD,UNIDAD_DESCRIPCION,Unidad Responsable,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
,,5.0,,,,2015.0,0,,Tabasco,Desarrollo Económico,Recursos fiscales,"Asuntos Económicos, Comerciales y Laborales en General",,Seguridad social,Ejecución a nivel nacional de los programas y acciones de la Política Laboral,Trabajo y Previsión Social,Asuntos Laborales Generales,Gasto corriente,Delegación Federal del Trabajo en Tabasco,Instrumentación de la política Laboral,,Prestación de Servicios Públicos,,,,,27.0,,,,,3.0,1.0,1.0,,,,,E,"$60,765.00",,,1400.0,,,,3.0,,,,14,,,2.0,,,1.0,,,147,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4.0,,,,2014.0,,,,Desarrollo Social,Ingresos Propios,Salud,,Remuneraciones adicionales y especiales,Consulta Externa Especializada,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,Prestación de Servicios de Salud a la Persona,Gasto corriente,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,Cobertura de la atención médica curativa,,Prestación de Servicios Públicos,,,,,,,,,,2.0,4.0,3.0,,,,,E,"31,397,749.00",,,1300.0,,,,10.0,,,,GYN,,,2.0,,,1.0,,,GYN,,,,,,,
Funci¢n p£blica y buen gobierno,1.0,,0,2700.0,"Vestuario, blancos, prendas de protecci¢n y art¡culos deportivos",2016.0,,,,,,,,,,,,,,,,,,,9.0,Distrito Federal,,1.0,3.0,Recursos fiscales,Coordinaci¢n de la Pol¡tica de Gobierno,,,,1.0,Gobierno,,,,,O,Apoyo a la funci¢n p£blica y al mejoramiento de la gesti¢n,, 752 ,1.0,Actividades de apoyo a la funci¢n p£blica y buen gobierno,,0.0,Tribunales Agrarios,Otros,31,4.0,Funci¢n P£blica,,1.0,Gasto corriente,,300,Oficial¡a Mayor,,,,,,,,
,,3.0,,,,2014.0,,,,Gobierno,Recursos fiscales,Seguridad Nacional,,"Herramientas, refacciones y accesorios menores","Defensa de la Integridad, la Independencia, la Soberanía del Territorio Nacional",Defensa Nacional,Defensa,Gasto corriente,Comandancia I Región Militar,"Defensa de la integridad, la independencia, la soberanía del territorio nacional y la seguridad interior",,Funciones de las Fuerzas Armadas,,,,,,,,,,1.0,1.0,6.0,,,,,A,"2,990,809.00",,,2900.0,,,,2.0,,,,7,,,1.0,,,1.0,,,120,,,,,,,
,,3.0,,,,2015.0,0,,Nayarit,Desarrollo Social,Ingresos Propios,Salud,,"Materiales de administración, emisión de documentos y artículos oficiales",Atención a la salud reproductiva,Instituto Mexicano del Seguro Social,Prestación de Servicios de Salud a la Persona,Gasto corriente,Instituto Mexicano del Seguro Social,Eficacia en la atención médica preventiva,,Prestación de Servicios Públicos,,,,,18.0,,,,,2.0,4.0,3.0,,,,,E,"$7,101.00",,,2100.0,,,,8.0,,,,50,,,2.0,,,1.0,,,GYR,,,,,,,
"Democracia preservada y fortalecida mediante la organizaci¢n de elecciones federales, el fomento de la participaci¢n ciudadana y la promoci¢n del desarrollo del sistema de partidos",1.0,,0,1700.0,Pago de est¡mulos a servidores p£blicos,2016.0,,,,,,,,,,,,,,,,,,,12.0,Guerrero,,1.0,3.0,Recursos fiscales,Coordinaci¢n de la Pol¡tica de Gobierno,,,,1.0,Gobierno,,,,,R,Espec¡ficos,," 119,652 ",2.0,Organizaci¢n electoral federal,,0.0,Instituto Nacional Electoral,Otros,22,6.0,Organizaci¢n de Procesos Electorales,,1.0,Gasto corriente,,300,Juntas Distritales Ejecutivas,,,,,,,,
,,8.0,,,,2009.0,,Regulación eficiente de las comunicaciones y los transportes,,,,Comunicaciones y Transportes,Desarrollo Económico,Gratificación de fin de año,"Supervisión, inspección y verificación del transporte terrestre, marítimo y aéreo",Comunicaciones y Transportes,Otros,,Centro SCT Guerrero,,Regulación y supervisión,,Recursos fiscales,Gasto corriente,,,,,,,,,1.0,1.0,,,3.0,G,,334004.0,,,1306.0,,,,2.0,,,,9,,,6.0,,,1.0,,,632,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4.0,,,,2013.0,,,,Gobierno,Recursos fiscales,Justicia,,"Servicios profesionales, cientificos, tecnicos y otros servicios",Investigar y perseguir los delitos del orden federal,Procuraduría General de la República,Procuración de Justicia,Gasto corriente,Procuraduría General de la República,Investigación del delito federal,,Prestación de Servicios Públicos,,,,,,,,,,1.0,1.0,2.0,,,,,E,4837000.0,,,3300.0,,,,2.0,,,,17,,,2.0,,,1.0,,,100,,,,,,,
,,4.0,,,,2012.0,,,,Gobierno,Recursos fiscales,Relaciones Exteriores,,"Servicios profesionales, cientificos, tecnicos y otros servicios","Promoción y defensa de los intereses de México en el exterior, en los ámbitos bilateral y regional",Relaciones Exteriores,Relaciones Exteriores,Gasto corriente,Subsecretaría para América Latina y el Caribe,Vínculos políticos con el exterior que benefician los intereses nacionales,,"Planeación, seguimiento y evaluación de políticas públicas",,,,,,,,,,1.0,1.0,4.0,,,,,P,14370100.0,,,3300.0,,,,4.0,,,,5,,,1.0,,,1.0,,,300,,,,,,,
,,1.0,,,,2015.0,0,,Morelos,Gobierno,Recursos fiscales,Coordinación de la Política de Gobierno,,Remuneraciones adicionales y especiales,Actividades de apoyo a la función pública y buen gobierno,Medio Ambiente y Recursos Naturales,Función Pública,Gasto corriente,Instituto Mexicano de Tecnología del Agua,Función pública y buen gobierno,,Apoyo a la función pública y al mejoramiento de la gestión,,,,,17.0,,,,,1.0,1.0,3.0,,,,,O,"$9,600.00",,,1300.0,,,,1.0,,,,16,,,4.0,,,1.0,,,RJE,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3.0,,,,2010.0,,,,Desarrollo Económico,Recursos fiscales,Temas Empresariales,,Pago de Estímulos a Servidores Públicos,Atención a las solicitudes de servicios y promoción de los programas competencia de la Secretaría en el interior de la República,Economía,"Micro, Pequeñas y Medianas Empresas",Gasto corriente,Delegación en San Luis Potosí,"Micro, Pequeñas y Medianas Empresas producctivas y competitivas",,Prestación de Servicios Públicos,,,,,,,,,,3.0,1.0,4.0,,,,,E,2185.0,,,1700.0,,,,9.0,,,,10,,,1.0,,,1.0,,,744,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5.0,,,,2011.0,,,,Gobierno,Recursos fiscales,Administración Pública,,"Materiales de administracion, emision de documentos y articulos oficiales","Mejora de la gestión y regulación de los procesos, trámites y servicios de la Administración Pública Federal",Función Pública,Función Pública,Gasto corriente,Dirección General de Tecnologías de Información,Mejora de la Gestión Pública,,Apoyo a la función pública y al mejoramiento de la gestión,,,,,,,,,,1.0,1.0,8.0,,,,,O,1262300.0,,,2100.0,,,,5.0,,,,27,,,3.0,,,1.0,,,511,,,,,,,
,,3.0,,,,2011.0,,,,Gobierno,Recursos fiscales,"Orden, Seguridad y Justicia",,"Materiales de administracion, emision de documentos y articulos oficiales",Desarrollo de instrumentos para la prevención del delito,Seguridad Pública,Policía,Gasto corriente,Subsecretaría de Planeación y Protección Institucional,Prevención del delito con perspectiva nacional,,Prestación de Servicios Públicos,,,,,,,,,,1.0,1.0,6.0,,,,,E,15500.0,,,2100.0,,,,1.0,,,,36,,,1.0,,,1.0,,,300,,,,,,,
,,4.0,,,,2012.0,,,,Desarrollo Económico,Recursos fiscales,"Asuntos Económicos, Comerciales y Laborales en General",,Remuneraciones al personal de caracter transitorio,Capacitación a trabajadores,Trabajo y Previsión Social,Asuntos Laborales Generales,Gasto corriente,Dirección General de Capacitación,Capacitación y productividad,,Prestación de Servicios Públicos,,,,,,,,,,3.0,1.0,1.0,,,,,E,24574460.0,,,1200.0,,,,4.0,,,,14,,,2.0,,,1.0,,,411,,,,,,,
,,4.0,,,,2009.0,,"Oportunidad en la atención curativa, quirúrgica, hospitalaria y de rehabilitación",,,,Salud,Desarrollo Social,Compensación por adquisición de material didáctico,Actividades de apoyo administrativo,Instituto Mexicano del Seguro Social,Prestación de Servicios de Salud a la Persona,,Instituto Mexicano del Seguro Social,,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,,Ingresos Propios,Gasto corriente,,,,,,,,,4.0,1.0,,,2.0,M,,1205787.0,,,1324.0,,,,1.0,,,,GYR,,,2.0,,,1.0,,,GYR,,,,,,,
,,1.0,,,,2014.0,,,,Gobierno,Recursos fiscales,Coordinación de la Política de Gobierno,,Remuneraciones adicionales y especiales,Actividades de apoyo a la función pública y buen gobierno,Economía,Función Pública,Gasto corriente,Servicio Geológico Mexicano,Función pública y buen gobierno,,Apoyo a la función pública y al mejoramiento de la gestión,,,,,,,,,,1.0,1.0,3.0,,,,,O,"415,909.00",,,1300.0,,,,1.0,,,,10,,,4.0,,,1.0,,,LAU,,,,,,,
,,17.0,,,,2015.0,0,,Distrito Federal,Gobierno,Recursos fiscales,Coordinación de la Política de Gobierno,,Servicios básicos,Defensa jurídica de la Secretaría de Gobernación y compilación jurídica nacional y testamentaria ciudadana,Gobernación,Política Interior,Gasto corriente,Dirección General de lo Contencioso,Apoyo jurídico a la Secretaría de Gobernación,,"Planeación, seguimiento y evaluación de políticas públicas",,,,,9.0,,,,,1.0,1.0,3.0,,,,,P,$118.00,,,3100.0,,,,9.0,,,,4,,,2.0,,,1.0,,,132,,,,,,,
,,8.0,,,,2009.0,,"Apoyo al ingreso, a la salud y a la educación de las familias en pobreza",,,,Asistencia Social,Desarrollo Social,Aportaciones al ISSSTE,"Definición y conducción de la política del desarrollo social, el ordenamiento territorial y la vivienda",Desarrollo Social,Otros Grupos Vulnerables,,Delegación SEDESOL en Tlaxcala,,"Planeación, seguimiento y evaluación de políticas públicas",,Recursos fiscales,Gasto corriente,,,,,,,,,1.0,5.0,,,2.0,P,,740847.0,,,1401.0,,,,2.0,,,,20,,,3.0,,,1.0,,,149,,,,,,,
,,9.0,,,,2015.0,0,,Distrito Federal,Desarrollo Económico,Recursos fiscales,"Agropecuaria, Silvicultura, Pesca y Caza",,Otros servicios generales,"Registro, Control y Seguimiento de los Programas Presupuestarios","Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",Agropecuaria,Gasto corriente,Coordinación General de Delegaciones,"Impulso a la reconversión productiva en materia agrícola, pecuaria y pesquera",,"Planeación, seguimiento y evaluación de políticas públicas",,,,,9.0,,,,,3.0,1.0,2.0,,,,,P,"$40,308.00",,,3900.0,,,,1.0,,,,8,,,1.0,,,1.0,,,113,,,,,,,
,,9.0,,,,2009.0,,"Impulso a la Reconversión Productiva en Materia Agrícola, Pecuaria y Pesquera",,,,Desarrollo Agropecuario y Forestal,Desarrollo Económico,Aportaciones al ISSSTE,"Registro, Control y Seguimiento de los Programas Presupuestarios","Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",Apoyos a la Producción,,Coordinación General de Ganadería,,"Planeación, seguimiento y evaluación de políticas públicas",,Recursos fiscales,Gasto corriente,,,,,,,,,1.0,2.0,,,3.0,P,,856224.0,,,1401.0,,,,1.0,,,,8,,,1.0,,,1.0,,,116,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4.0,,,,2015.0,11178120003,,Distrito Federal,Gobierno,Recursos fiscales,Justicia,,Obra pública en bienes propios,Mantenimiento de infraestructura,Procuraduría General de la República,Procuración de Justicia,Gasto de obra pública,Dirección General de Recursos Materiales y Servicios Generales,Investigación del delito federal,,Proyectos de Inversión,,,,,9.0,,,,,1.0,1.0,2.0,,,,,K,"$11,412,861.00",,,6200.0,,,,27.0,,,,17,,,2.0,,,3.0,,,812,,,,,,,
,,24.0,,,,2013.0,,,,Desarrollo Económico,Recursos fiscales,"Ciencia, Tecnología e Innovación",,Alimentos y utensilios,Investigación y desarrollo tecnológico en salud,Salud,Investigación Científica,Gasto corriente,Instituto Nacional de Pediatría,Investigación en salud pertinente y de excelencia académica,,Prestación de Servicios Públicos,,,,,,,,,,3.0,1.0,8.0,,,,,E,954449.0,,,2200.0,,,,22.0,,,,12,,,1.0,,,1.0,,,NCZ,,,,,,,
,,4.0,,,,2015.0,0,,Distrito Federal,Gobierno,Recursos fiscales,Justicia,,Seguridad social,Atender asuntos relacionados con los Derechos Humanos de Ámbito Laboral y Social,Comisión Nacional de los Derechos Humanos,Derechos Humanos,Gasto corriente,Sexta Visitaduría General,Promover y divulgar la cultura de los derechos humanos eficiente y ampliamente,,Prestación de Servicios Públicos,,,,,9.0,,,,,1.0,1.0,2.0,,,,,E,"$32,556.00",,,1400.0,,,,28.0,,,,35,,,4.0,,,1.0,,,117,,,,,,,
Manejo eficiente y sustentable del agua y prevenci¢n de inundaciones,3.0,,1316B000200,6200.0,Obra p£blica en bienes propios,2016.0,,,,,,,,,,,,,,,,,,,16.0,Michoac n,,1.0,2.0,Recursos fiscales,"Agropecuaria, Silvicultura, Pesca y Caza",,,,3.0,Desarrollo Econ¢mico,,,,,K,Proyectos de Inversi¢n,," 18,343,836 ",141.0,Infraestructura para la modernizaci¢n y rehabilitaci¢n de riego y temporal tecnificado,,0.0,Medio Ambiente y Recursos Naturales,Otros,16,5.0,Hidroagr¡cola,,3.0,Gasto de obra p£blica,,B00,Comisi¢n Nacional del Agua,,,,,,,,
,,4.0,,,,2011.0,,,,Desarrollo Económico,Recursos fiscales,Ciencia y Tecnología,,"Combustibles, lubricantes y aditivos",Desarrollo tecnológico e innovación y elaboración de publicaciones,Consejo Nacional de Ciencia y Tecnología,Desarrollo Tecnológico,Gasto corriente,"Centro de Investigación y Desarrollo Tecnológico en Electroquímica, S.C.",Generación de desarrollo e innovación tecnológica para elevar la competitividad del país y difusión de sus resultados,,Prestación de Servicios Públicos,,,,,,,,,,3.0,1.0,7.0,,,,,E,400000.0,,,2600.0,,,,2.0,,,,38,,,2.0,,,1.0,,,90K,,,,,,,
,,5.0,,,,2009.0,,Aeropuertos eficientes y competitivos,,,,Comunicaciones y Transportes,Desarrollo Económico,Asignaciones adicionales al sueldo,"Supervisión, inspección y verificación del transporte terrestre, marítimo y aéreo",Comunicaciones y Transportes,Aeropuertos,,Centro SCT Hidalgo,,Regulación y supervisión,,Recursos fiscales,Gasto corriente,,,,,,,,,1.0,1.0,,,3.0,G,,13608.0,,,1511.0,,,,2.0,,,,9,,,3.0,,,1.0,,,633,,,,,,,
,,4.0,,,,2014.0,,,,Desarrollo Social,Recursos fiscales,Educación,,Servicios de traslado y viaticos,Formación y certificación para el trabajo,Educación Pública,Educación Media Superior,Gasto corriente,Dirección General de Centros de Formación para el Trabajo,Educación media superior de calidad,,Prestación de Servicios Públicos,,,,,,,,,,2.0,1.0,5.0,,,,,E,"351,000.00",,,3700.0,,,,5.0,,,,11,,,2.0,,,1.0,,,613,,,,,,,
,,4.0,,,,2009.0,,Ordenamiento y Regularización de la Propiedad Rural,,,,Temas Agrarios,Desarrollo Económico,Otras prestaciones,Implementación de políticas enfocadas al medio agrario,Reforma Agraria,Asuntos Agrarios,,Dirección General de Política y Planeación Agraria,,"Planeación, seguimiento y evaluación de políticas públicas",,Recursos fiscales,Gasto corriente,,,,,,,,,1.0,8.0,,,3.0,P,,157000.0,,,1512.0,,,,1.0,,,,15,,,1.0,,,1.0,,,311,,,,,,,
,,8.0,,,,2008.0,,Regulación eficiente de las comunicaciones y los transportes,,,Recursos fiscales,Comunicaciones y  Transportes,Desarrollo Económico,"Herramientas, Refacciones y Accesorios","Supervisión, inspección y verificación del transporte terrestre, marítimo y aéreo",Comunicaciones y Transportes,Otros,Gasto corriente,Centro SCT Morelos,,Regulación y supervisión,,,,,,,,,,,,1.0,1.0,,,3.0,G,,31072.0,,,2300.0,,,,2.0,,,,9,,,6.0,,,1.0,,,637,,,,,,,
,,4.0,,,,2012.0,,,,Desarrollo Económico,Recursos fiscales,"Agropecuaria, Silvicultura, Pesca y Caza",,Remuneraciones adicionales y especiales,Implementación de políticas enfocadas al medio agrario,Reforma Agraria,Agropecuaria,Gasto corriente,Delegación Estatal en Guerrero,Ordenamiento y regularización de la propiedad rural,,"Planeación, seguimiento y evaluación de políticas públicas",,,,,,,,,,3.0,1.0,2.0,,,,,P,400817.0,,,1300.0,,,,1.0,,,,15,,,1.0,,,1.0,,,132,,,,,,,
,,1.0,,,,2010.0,,,,Gobierno,Recursos fiscales,Gobernación,,Servicios Oficiales,"Planeación, concertación y control",Instituto Federal Electoral,Organización de Procesos Electorales,Gasto corriente,Unidad de Servicios de Informática,"Democracia preservada y fortalecida mediante la organización de elecciones federales, el fomento de la participación ciudadana y la promoción del desarrollo del sistema de partidos",,Específicos,,,,,,,,,,1.0,1.0,4.0,,,,,R,438694.0,,,3800.0,,,,1.0,,,,22,,,1.0,,,1.0,,,109,,,,,,,
,,1.0,,,,2014.0,,,,Gobierno,Recursos fiscales,Coordinación de la Política de Gobierno,,Previsiones,Organización electoral federal,Instituto Federal Electoral,Organización de Procesos Electorales,Gasto corriente,Juntas Locales,"Democracia preservada y fortalecida mediante la organización de elecciones federales, el fomento de la participación ciudadana y la promoción del desarrollo del sistema de partidos",,Específicos,,,,,,,,,,1.0,1.0,3.0,,,,,R,"7,854.00",,,1600.0,,,,2.0,,,,22,,,6.0,,,1.0,,,200,,,,,,,
,,1.0,,,,2015.0,0,,Yucatán,Gobierno,Recursos fiscales,Coordinación de la Política de Gobierno,,Servicios de traslado y viáticos,"Otorgamiento de prerrogativas a partidos políticos, fiscalización de sus recursos y administración de los tiempos del estado en radio y televisión",Instituto Nacional Electoral,Organización de Procesos Electorales,Gasto corriente,Juntas Distritales Ejecutivas,"Democracia preservada y fortalecida mediante la organización de elecciones federales, el fomento de la participación ciudadana y la promoción del desarrollo del sistema de partidos",,Específicos,,,,,31.0,,,,,1.0,1.0,3.0,,,,,R,"$15,000.00",,,3700.0,,,,9.0,,,,22,,,6.0,,,1.0,,,300,,,,,,,
,,6.0,,,,2015.0,0,,Distrito Federal,Desarrollo Económico,Recursos fiscales,"Agropecuaria, Silvicultura, Pesca y Caza",,Seguridad social,"Registro, Control y Seguimiento de los Programas Presupuestarios","Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",Agropecuaria,Gasto corriente,Comité Nacional para el Desarrollo Sustentable de la Caña de Azúcar,Elevar el ingreso de los productores y el empleo rural,,"Planeación, seguimiento y evaluación de políticas públicas",,,,,9.0,,,,,3.0,1.0,2.0,,,,,P,"$23,123.00",,,1400.0,,,,1.0,,,,8,,,1.0,,,1.0,,,AFU,,,,,,,
,,6.0,,,,2009.0,,Coordinación del Sistema Nacional de Seguridad Pública,,,,"Orden, Seguridad y Justicia",Gobierno,Pasajes nacionales para labores en campo y de supervisión,Ejecución y seguimiento de las resoluciones del Consejo Nacional de Seguridad Pública,Seguridad Pública,Sistema Nacional de Seguridad Pública,,Secretariado Ejecutivo del Sistema Nacional de Seguridad Pública,,Prestación de Servicios Públicos,,Recursos fiscales,Gasto corriente,,,,,,,,,1.0,6.0,,,1.0,E,,871.0,,,3808.0,,,,6.0,,,,36,,,6.0,,,1.0,,,D00,,,,,,,
,,7.0,,,,2013.0,,,,Gobierno,Recursos fiscales,Justicia,,"Servicios profesionales, cientificos, tecnicos y otros servicios",Promoción del respeto a los derechos humanos y atención a víctimas del delito,Procuraduría General de la República,Procuración de Justicia,Gasto corriente,"Dirección General de Promoción de la Cultura en Derechos Humanos, Quejas e Inspección",Representación jurídica de la Federación en el ámbito interno e internacional,,Prestación de Servicios Públicos,,,,,,,,,,1.0,1.0,2.0,,,,,E,95000.0,,,3300.0,,,,9.0,,,,17,,,2.0,,,1.0,,,610,,,,,,,
,,15.0,,,,2014.0,,,,Desarrollo Social,Recursos fiscales,Salud,,Seguridad social,Programa Comunidades Saludables,Salud,Prestación de Servicios de Salud a la Comunidad,Gasto corriente,Dirección General de Promoción de la Salud,Promoción de la salud y prevención y control de enfermedades fortalecidas e integradas sectorial e intersectorialmente,,Sujetos a Reglas de Operación,,,,,,,,,,2.0,1.0,3.0,,,,,S,"1,127,093.00",,,1400.0,,,,37.0,,,,12,,,1.0,,,1.0,,,310,,,,,,,
,,2.0,,,,2014.0,,,,Desarrollo Social,Recursos fiscales,Protección Ambiental,,"Combustibles, lubricantes y aditivos",Actividades de apoyo administrativo,Medio Ambiente y Recursos Naturales,Otros de Protección Ambiental,Gasto corriente,Delegación Federal en México,Servicios de apoyo administrativo,,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,,,,,,,,,,2.0,1.0,1.0,,,,,M,"21,150.00",,,2600.0,,,,1.0,,,,16,,,6.0,,,1.0,,,135,,,,,,,
,,1.0,,,,2015.0,0,,Distrito Federal,Gobierno,Recursos fiscales,Coordinación de la Política de Gobierno,,Servicios de traslado y viáticos,Actividades de apoyo a la función pública y buen gobierno,Salud,Función Pública,Gasto corriente,Sistema Nacional para el Desarrollo Integral de la Familia,Función pública y buen gobierno,,Apoyo a la función pública y al mejoramiento de la gestión,,,,,9.0,,,,,1.0,1.0,3.0,,,,,O,"$22,000.00",,,3700.0,,,,1.0,,,,12,,,4.0,,,1.0,,,NHK,,,,,,,
,,1.0,,,,2015.0,0,,Michoacán,Gobierno,Recursos fiscales,Coordinación de la Política de Gobierno,,Pago de estímulos a servidores públicos,"Otorgamiento de prerrogativas a partidos políticos, fiscalización de sus recursos y administración de los tiempos del estado en radio y televisión",Instituto Nacional Electoral,Organización de Procesos Electorales,Gasto corriente,Juntas Locales Ejecutivas,"Democracia preservada y fortalecida mediante la organización de elecciones federales, el fomento de la participación ciudadana y la promoción del desarrollo del sistema de partidos",,Específicos,,,,,16.0,,,,,1.0,1.0,3.0,,,,,R,"$114,579.00",,,1700.0,,,,9.0,,,,22,,,6.0,,,1.0,,,200,,,,,,,
,,2.0,,,,2015.0,0,,Distrito Federal,Desarrollo Social,Recursos fiscales,"Recreación, Cultura y Otras Manifestaciones Sociales",,Remuneraciones adicionales y especiales,Actividades de apoyo administrativo,Educación Pública,Cultura,Gasto corriente,Radio Educación,Servicios de apoyo administrativo,,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,,,,,9.0,,,,,2.0,1.0,4.0,,,,,M,"$525,801.00",,,1300.0,,,,1.0,,,,11,,,2.0,,,1.0,,,F00,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2.0,,,,2015.0,0,,Distrito Federal,Desarrollo Social,Recursos fiscales,"Recreación, Cultura y Otras Manifestaciones Sociales",,"Productos químicos, farmacéuticos y de laboratorio",Actividades de apoyo administrativo,Educación Pública,Cultura,Gasto corriente,"Estudios Churubusco Azteca, S.A.",Servicios de apoyo administrativo,,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,,,,,9.0,,,,,2.0,1.0,4.0,,,,,M,"$20,120.00",,,2500.0,,,,1.0,,,,11,,,2.0,,,1.0,,,L8P,,,,,,,
,,8.0,,,,2012.0,,,,Desarrollo Económico,Recursos fiscales,Transporte,,Otras prestaciones sociales y economicas,Definición y conducción de la política de comunicaciones y transportes,Comunicaciones y Transportes,Transporte por Carretera,Gasto corriente,Subsecretaría de Infraestructura,Regulación eficiente de las comunicaciones y los transportes,,"Planeación, seguimiento y evaluación de políticas públicas",,,,,,,,,,3.0,1.0,5.0,,,,,P,18999377.0,,,1500.0,,,,1.0,,,,9,,,1.0,,,1.0,,,200,,,,,,,
,,4.0,,,,2015.0,0,,Campeche,Desarrollo Social,Recursos fiscales,Salud,,Remuneraciones adicionales y especiales,Hospitalización General,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,Prestación de Servicios de Salud a la Persona,Gasto corriente,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,Cobertura de la atención médica curativa,,Prestación de Servicios Públicos,,,,,4.0,,,,,2.0,1.0,3.0,,,,,E,"$247,996.00",,,1300.0,,,,11.0,,,,51,,,2.0,,,1.0,,,GYN,,,,,,,
,,5.0,,,,2015.0,0,,Morelos,Desarrollo Social,Recursos fiscales,Salud,,Seguridad social,Investigación Científica y Tecnológica,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,Prestación de Servicios de Salud a la Persona,Gasto corriente,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,Otros Servicios de Salud,,Prestación de Servicios Públicos,,,,,17.0,,,,,2.0,1.0,3.0,,,,,E,"$49,212.00",,,1400.0,,,,15.0,,,,51,,,2.0,,,1.0,,,GYN,,,,,,,
,,8.0,,,,2010.0,,,,Desarrollo Social,Recursos fiscales,Asistencia Social,,Remuneraciones Adicionales y Especiales,"Definición y conducción de la política del desarrollo social, el ordenamiento territorial y la vivienda",Desarrollo Social,Otros Grupos Vulnerables,Gasto corriente,Delegación SEDESOL en San Luis Potosí,"Apoyo al ingreso, a la salud y a la educación de las familias en pobreza",,"Planeación, seguimiento y evaluación de políticas públicas",,,,,,,,,,2.0,1.0,5.0,,,,,P,625857.0,,,1300.0,,,,2.0,,,,20,,,3.0,,,1.0,,,144,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1.0,,,,2015.0,0,,Distrito Federal,Gobierno,Recursos fiscales,Coordinación de la Política de Gobierno,,Servicios básicos,Actividades de apoyo a la función pública y buen gobierno,Hacienda y Crédito Público,Función Pública,Gasto corriente,Comisión Nacional para el Desarrollo de los Pueblos Indígenas,Función pública y buen gobierno,,Apoyo a la función pública y al mejoramiento de la gestión,,,,,9.0,,,,,1.0,1.0,3.0,,,,,O,"$3,000.00",,,3100.0,,,,1.0,,,,6,,,4.0,,,1.0,,,AYB,,,,,,,
